SNAC ID	ARK ID	TriCo ID	Mntns
85617724	w6sv8fbg		7
85619475	w6p37ppz		2
67782267	w6gj3q0h	http://archives.tricolib.brynmawr.edu/agents/people/9183	28
85690365	w68q6r38		14
58082478	w6md3mdh		13
74054099	w65d92g1	http://archives.tricolib.brynmawr.edu/agents/people/8927	10
72779524	w6gb275h		10
85620384	w6zd8tgw		6
3507407	w6cr7t0d	http://archives.tricolib.brynmawr.edu/agents/people/2884	13
33984863	w6d01xtv	http://archives.tricolib.brynmawr.edu/agents/people/11147	13
59840986	w6xm0dbv	http://archives.tricolib.brynmawr.edu/agents/people/9536	20
74109159	w6dw29hq		13
85627600	w6w77bbk		11
85619741	w6hf8m7k		26
52194817	w67h3crq		11
85618917	w6tv5gh9		12
85612440	w6f29q6b		11
85674655	w6sp11k8		0
85676076	w6z71dmb		3
48220448	w6mw2sk8	http://archives.tricolib.brynmawr.edu/agents/people/9073	11
25243048	w68w3qrz	http://archives.tricolib.brynmawr.edu/agents/people/8908	10
16084717	w6z65997	http://archives.tricolib.brynmawr.edu/agents/people/3402	10
85677206	w69h6cd0		11
76463121	w6sq9jjd		10
85683849	w6s57hk5		11
69112313	w68d3sbk	http://archives.tricolib.brynmawr.edu/agents/people/2913	23
39281734	w6s505g1		10
85527109	w6j20tpc		9
85517848	w61657hq		0
13632608	w6gb2s37	http://archives.tricolib.brynmawr.edu/agents/people/9613	14
74207550	w6br9gtg	http://archives.tricolib.brynmawr.edu/agents/people/12532	7
85617754	w6vv2hqk		23
144438	w6qr572m	http://archives.tricolib.brynmawr.edu/agents/people/8819	10
39965134	w6kp9nc6		8
85531241	w6d902xk		7
60917789	w60g68ww		13
51652987	w6n05cnp	http://archives.tricolib.brynmawr.edu/agents/people/9177	36
85539565	w66f6jgb		13
45956082	w65147nn	http://archives.tricolib.brynmawr.edu/agents/people/8821	8
5796280	w64n1mqv		23
47376325	w67d3g1h		8
85545503	w6vv2hnp		9
85687750	w6650fb8		0
85717637	w6bm240j	http://archives.tricolib.brynmawr.edu/agents/people/6671	9
9796282	w6x93chq		7
74064189	w6891hbg	http://archives.tricolib.brynmawr.edu/agents/people/8818	9
85681488	w6hv3dwv		3
85710873	w66b7v5c		32
13797784	w6f1984q	http://archives.tricolib.brynmawr.edu/agents/people/8822	6
68531606	w6k6603s	http://archives.tricolib.brynmawr.edu/agents/people/9180	8
31401628	w6k08k1m	http://archives.tricolib.brynmawr.edu/agents/people/9184	4
85556964	w6vf7pzj		32
85669126	w60h49sj		53
85666845	w6vz1749		29
85619551	w68x44wf		54
85624623	w64v7902		23
85667510	w638818j		1
85624681	w6136j8n		38
85494194	w61s7fx6	http://archives.tricolib.brynmawr.edu/agents/people/11405	3
85769254	w63g5f9w	http://archives.tricolib.brynmawr.edu/agents/people/5407	8
