SNAC ID	ARK ID	TriCo ID	ImgSrc	ImgAttr	Mntns	HuntMntns	EvansMntns
57502540	w6dn68k9	http://archives.tricolib.brynmawr.edu/agents/people/2928			65	65	
65278400	w6qj854r				54	54	
85386051	w6md9qck				46	46	
85558894	w6107trk				55	55	
8578951	w6wq14dj	http://archives.tricolib.brynmawr.edu/agents/people/6664			46	46	
85494329	w6b38kp0				42	42	
85501852	w66794np				43	43	
85560461	w6rg6kjz				41	41	
35918349	w68g9ffr	http://archives.tricolib.brynmawr.edu/agents/people/3376			43	43	
85721052	w66r2nv3				44	44	
85560490	w67j292w				1	1	
55784347	w6jx3293	http://archives.tricolib.brynmawr.edu/agents/people/3217			38	38	
12635601	w6n05bth	http://archives.tricolib.brynmawr.edu/agents/people/9182			39	39	
85562686	w6hv3dtz				34	34	
85567526	w6912v76	http://archives.tricolib.brynmawr.edu/agents/people/1031	https://digitalcollections.tricolib.brynmawr.edu/islandora/object/sc%3A108/datastream/TN		33	32	1
85558534	w6x74cd2				44	44	
85560501	w6qk87r0				33	33	
85563064	w6w48mwd				26	26	
85591755	w6q924mx				4	4	
74118480	w6058f0z	http://archives.tricolib.brynmawr.edu/agents/people/9522			41	41	
286968	w6cg1kgr				18	18	
33762128	w6n87x9b	http://archives.tricolib.brynmawr.edu/agents/people/7329			20	20	
68324529	w6s1844s	http://archives.tricolib.brynmawr.edu/agents/people/1566			13	13	
85566563	w6xq7wg4				11	11	
23145759	w6cz4d1t	http://archives.tricolib.brynmawr.edu/agents/people/9091			13	11	2
52062192	w65q5g7f	http://archives.tricolib.brynmawr.edu/agents/people/2968			9	9	
43798553	w6kf2phb	http://archives.tricolib.brynmawr.edu/agents/people/3374			11	11	
73142617	w6rj4s40	http://archives.tricolib.brynmawr.edu/agents/people/8825	https://digitalcollections.tricolib.brynmawr.edu/islandora/object/sc%3A107/datastream/TN		17	13	4
85664492	w6gv6crg	http://archives.tricolib.brynmawr.edu/agents/people/8723			9	9	
69262260	w6086z81				4	4	
85542130	w67b4w4h				35	35	
85532673	w6sk2b2m				30	29	1
85566391	w6tz45z2				25	25	
85670079	w6621qxj				13	13	
85687998	w68x44xw				31	31	
85564260	w6b38ksb				30	30	
28660463	w6mk6p7z				34	34	
